survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embarked,embark_town,alive,alone
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,2,male,18,0,0,73.5,Second,man,True,,S,Southampton,no,True
0,3,male,1,5,2,46.9,Third,child,False,,S,Southampton,no,False
1,2,female,36,0,0,13,Second,woman,False,,S,Southampton,yes,True
0,3,male,,0,0,7.7292,Third,man,True,,Q,Queenstown,no,True
1,2,female,17,0,0,12,Second,woman,False,,C,Cherbourg,yes,True
1,1,male,36,1,2,120,First,man,True,B,S,Southampton,yes,False
1,3,male,21,0,0,7.7958,Third,man,True,,S,Southampton,yes,True
0,3,male,28,2,0,7.925,Third,man,True,,S,Southampton,no,False
1,1,female,23,1,0,113.275,First,woman,False,D,C,Cherbourg,yes,False
1,3,female,24,0,2,16.7,Third,woman,False,G,S,Southampton,yes,False
0,3,male,22,0,0,7.7958,Third,man,True,,S,Southampton,no,True
0,3,female,31,0,0,7.8542,Third,woman,False,,S,Southampton,no,True
0,2,male,46,0,0,26,Second,man,True,,S,Southampton,no,True
0,2,male,23,0,0,10.5,Second,man,True,,S,Southampton,no,True
1,2,female,28,0,0,12.65,Second,woman,False,,S,Southampton,yes,True
1,3,male,39,0,0,7.925,Third,man,True,,S,Southampton,yes,True
0,3,male,26,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,female,21,1,0,9.825,Third,woman,False,,S,Southampton,no,False
0,3,male,28,1,0,15.85,Third,man,True,,S,Southampton,no,False
0,3,female,20,0,0,8.6625,Third,woman,False,,S,Southampton,no,True
0,2,male,34,1,0,21,Second,man,True,,S,Southampton,no,False
0,3,male,51,0,0,7.75,Third,man,True,,S,Southampton,no,True
1,2,male,3,1,1,18.75,Second,child,False,,S,Southampton,yes,False
0,3,male,21,0,0,7.775,Third,man,True,,S,Southampton,no,True
0,3,female,,3,1,25.4667,Third,woman,False,,S,Southampton,no,False
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,6.8583,Third,man,True,,Q,Queenstown,no,True
1,1,female,33,1,0,90,First,woman,False,C,Q,Queenstown,yes,False
0,2,male,,0,0,0,Second,man,True,,S,Southampton,no,True
1,3,male,44,0,0,7.925,Third,man,True,,S,Southampton,yes,True
0,3,female,,0,0,8.05,Third,woman,False,,S,Southampton,no,True
1,2,female,34,1,1,32.5,Second,woman,False,,S,Southampton,yes,False
1,2,female,18,0,2,13,Second,woman,False,,S,Southampton,yes,False
0,2,male,30,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,female,10,0,2,24.15,Third,child,False,,S,Southampton,no,False
0,3,male,,0,0,7.8958,Third,man,True,,C,Cherbourg,no,True
0,3,male,21,0,0,7.7333,Third,man,True,,Q,Queenstown,no,True
0,3,male,29,0,0,7.875,Third,man,True,,S,Southampton,no,True
0,3,female,28,1,1,14.4,Third,woman,False,,S,Southampton,no,False
0,3,male,18,1,1,20.2125,Third,man,True,,S,Southampton,no,False
0,3,male,,0,0,7.25,Third,man,True,,S,Southampton,no,True
1,2,female,28,1,0,26,Second,woman,False,,S,Southampton,yes,False
1,2,female,19,0,0,26,Second,woman,False,,S,Southampton,yes,True
0,3,male,,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
1,3,male,32,0,0,8.05,Third,man,True,E,S,Southampton,yes,True
1,1,male,28,0,0,26.55,First,man,True,C,S,Southampton,yes,True
1,3,female,,1,0,16.1,Third,woman,False,,S,Southampton,yes,False
1,2,female,42,1,0,26,Second,woman,False,,S,Southampton,yes,False
0,3,male,17,0,0,7.125,Third,man,True,,S,Southampton,no,True
0,1,male,50,1,0,55.9,First,man,True,E,S,Southampton,no,False
1,1,female,14,1,2,120,First,child,False,B,S,Southampton,yes,False
0,3,female,21,2,2,34.375,Third,woman,False,,S,Southampton,no,False
1,2,female,24,2,3,18.75,Second,woman,False,,S,Southampton,yes,False
0,1,male,64,1,4,263,First,man,True,C,S,Southampton,no,False
0,2,male,31,0,0,10.5,Second,man,True,,S,Southampton,no,True
1,2,female,45,1,1,26.25,Second,woman,False,,S,Southampton,yes,False
0,3,male,20,0,0,9.5,Third,man,True,,S,Southampton,no,True
0,3,male,25,1,0,7.775,Third,man,True,,S,Southampton,no,False
1,2,female,28,0,0,13,Second,woman,False,,S,Southampton,yes,True
1,3,male,,0,0,8.1125,Third,man,True,,S,Southampton,yes,True
1,1,male,4,0,2,81.8583,First,child,False,A,S,Southampton,yes,False
1,2,female,13,0,1,19.5,Second,child,False,,S,Southampton,yes,False
1,1,male,34,0,0,26.55,First,man,True,,S,Southampton,yes,True
1,3,female,5,2,1,19.2583,Third,child,False,,C,Cherbourg,yes,False
1,1,male,52,0,0,30.5,First,man,True,C,S,Southampton,yes,True
0,2,male,36,1,2,27.75,Second,man,True,,S,Southampton,no,False
0,3,male,,1,0,19.9667,Third,man,True,,S,Southampton,no,False
0,1,male,30,0,0,27.75,First,man,True,C,C,Cherbourg,no,True
1,1,male,49,1,0,89.1042,First,man,True,C,C,Cherbourg,yes,False
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,3,male,29,0,0,7.8958,Third,man,True,,C,Cherbourg,yes,True
0,1,male,65,0,0,26.55,First,man,True,E,S,Southampton,no,True
1,1,female,,1,0,51.8625,First,woman,False,D,S,Southampton,yes,False
1,2,female,50,0,0,10.5,Second,woman,False,,S,Southampton,yes,True
0,3,male,,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
1,1,male,48,0,0,26.55,First,man,True,E,S,Southampton,yes,True
0,3,male,34,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,1,male,47,0,0,38.5,First,man,True,E,S,Southampton,no,True
0,2,male,48,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,38,0,0,7.05,Third,man,True,,S,Southampton,no,True
0,2,male,,0,0,0,Second,man,True,,S,Southampton,no,True
0,1,male,56,0,0,26.55,First,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.725,Third,man,True,,Q,Queenstown,no,True
1,3,female,0.75,2,1,19.2583,Third,child,False,,C,Cherbourg,yes,False
0,3,male,,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,3,male,38,0,0,8.6625,Third,man,True,,S,Southampton,no,True
1,2,female,33,1,2,27.75,Second,woman,False,,S,Southampton,yes,False
1,2,female,23,0,0,13.7917,Second,woman,False,D,C,Cherbourg,yes,True
0,3,female,22,0,0,9.8375,Third,woman,False,,S,Southampton,no,True
0,1,male,,0,0,52,First,man,True,A,S,Southampton,no,True
0,2,male,34,1,0,21,Second,man,True,,S,Southampton,no,False
0,3,male,29,1,0,7.0458,Third,man,True,,S,Southampton,no,False
0,3,male,22,0,0,7.5208,Third,man,True,,S,Southampton,no,True
1,3,female,2,0,1,12.2875,Third,child,False,,S,Southampton,yes,False
0,3,male,9,5,2,46.9,Third,child,False,,S,Southampton,no,False
0,2,male,,0,0,0,Second,man,True,,S,Southampton,no,True
0,3,male,50,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,3,female,63,0,0,9.5875,Third,woman,False,,S,Southampton,yes,True
1,1,male,25,1,0,91.0792,First,man,True,B,C,Cherbourg,yes,False
0,3,female,,3,1,25.4667,Third,woman,False,,S,Southampton,no,False
1,1,female,35,1,0,90,First,woman,False,C,S,Southampton,yes,False
0,1,male,58,0,0,29.7,First,man,True,B,C,Cherbourg,no,True
0,3,male,30,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,3,male,9,1,1,15.9,Third,child,False,,S,Southampton,yes,False
0,3,male,,1,0,19.9667,Third,man,True,,S,Southampton,no,False
0,3,male,21,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,1,male,55,0,0,30.5,First,man,True,C,S,Southampton,no,True
0,1,male,71,0,0,49.5042,First,man,True,,C,Cherbourg,no,True
0,3,male,21,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,14.4583,Third,man,True,,C,Cherbourg,no,True
1,1,female,54,1,0,78.2667,First,woman,False,D,C,Cherbourg,yes,False
0,3,male,,0,0,15.1,Third,man,True,,S,Southampton,no,True
0,1,female,25,1,2,151.55,First,woman,False,C,S,Southampton,no,False
0,3,male,24,0,0,7.7958,Third,man,True,,S,Southampton,no,True
0,3,male,17,0,0,8.6625,Third,man,True,,S,Southampton,no,True
0,3,female,21,0,0,7.75,Third,woman,False,,Q,Queenstown,no,True
0,3,female,,0,0,7.6292,Third,woman,False,,Q,Queenstown,no,True
0,3,female,37,0,0,9.5875,Third,woman,False,,S,Southampton,no,True
1,1,female,16,0,0,86.5,First,woman,False,B,S,Southampton,yes,True
0,1,male,18,1,0,108.9,First,man,True,C,C,Cherbourg,no,False
1,2,female,33,0,2,26,Second,woman,False,,S,Southampton,yes,False
1,1,male,,0,0,26.55,First,man,True,,S,Southampton,yes,True
0,3,male,28,0,0,22.525,Third,man,True,,S,Southampton,no,True
1,3,male,26,0,0,56.4958,Third,man,True,,S,Southampton,yes,True
1,3,male,29,0,0,7.75,Third,man,True,,Q,Queenstown,yes,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,1,male,36,0,0,26.2875,First,man,True,E,S,Southampton,yes,True
1,1,female,54,1,0,59.4,First,woman,False,,C,Cherbourg,yes,False
0,3,male,24,0,0,7.4958,Third,man,True,,S,Southampton,no,True
0,1,male,47,0,0,34.0208,First,man,True,D,S,Southampton,no,True
1,2,female,34,0,0,10.5,Second,woman,False,F,S,Southampton,yes,True
0,3,male,,0,0,24.15,Third,man,True,,Q,Queenstown,no,True
1,2,female,36,1,0,26,Second,woman,False,,S,Southampton,yes,False
0,3,male,32,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,1,female,30,0,0,93.5,First,woman,False,B,S,Southampton,yes,True
0,3,male,22,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
1,1,female,44,0,1,57.9792,First,woman,False,B,C,Cherbourg,yes,False
0,3,male,,0,0,7.2292,Third,man,True,,C,Cherbourg,no,True
0,3,male,40.5,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
1,2,female,50,0,0,10.5,Second,woman,False,,S,Southampton,yes,True
0,1,male,,0,0,221.7792,First,man,True,C,S,Southampton,no,True
0,3,male,39,0,0,7.925,Third,man,True,,S,Southampton,no,True
0,2,male,23,2,1,11.5,Second,man,True,,S,Southampton,no,False
1,2,female,2,1,1,26,Second,child,False,,S,Southampton,yes,False
0,3,male,,0,0,7.2292,Third,man,True,,C,Cherbourg,no,True
0,3,male,17,1,1,7.2292,Third,man,True,,C,Cherbourg,no,False
1,3,female,,0,2,22.3583,Third,woman,False,,C,Cherbourg,yes,False
0,3,female,30,0,0,8.6625,Third,woman,False,,S,Southampton,no,True
1,2,female,7,0,2,26.25,Second,child,False,,S,Southampton,yes,False
0,1,male,45,0,0,26.55,First,man,True,B,S,Southampton,no,True
1,1,female,30,0,0,106.425,First,woman,False,,C,Cherbourg,yes,True
0,3,male,,0,0,14.5,Third,man,True,,S,Southampton,no,True
1,1,female,22,0,2,49.5,First,woman,False,B,C,Cherbourg,yes,False
1,1,female,36,0,2,71,First,woman,False,B,S,Southampton,yes,False
0,3,female,9,4,2,31.275,Third,child,False,,S,Southampton,no,False
0,3,female,11,4,2,31.275,Third,child,False,,S,Southampton,no,False
1,2,male,32,1,0,26,Second,man,True,,S,Southampton,yes,False
0,1,male,50,1,0,106.425,First,man,True,C,C,Cherbourg,no,False
0,1,male,64,0,0,26,First,man,True,,S,Southampton,no,True
1,2,female,19,1,0,26,Second,woman,False,,S,Southampton,yes,False
1,2,male,,0,0,13.8625,Second,man,True,,C,Cherbourg,yes,True
0,3,male,33,1,1,20.525,Third,man,True,,S,Southampton,no,False
1,2,male,8,1,1,36.75,Second,child,False,,S,Southampton,yes,False
1,1,male,17,0,2,110.8833,First,man,True,C,C,Cherbourg,yes,False
0,2,male,27,0,0,26,Second,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.8292,Third,man,True,,Q,Queenstown,no,True
1,3,male,22,0,0,7.225,Third,man,True,,C,Cherbourg,yes,True
1,3,female,22,0,0,7.775,Third,woman,False,,S,Southampton,yes,True
0,1,male,62,0,0,26.55,First,man,True,,S,Southampton,no,True
1,1,female,48,1,0,39.6,First,woman,False,A,C,Cherbourg,yes,False
0,1,male,,0,0,227.525,First,man,True,,C,Cherbourg,no,True
1,1,female,39,1,1,79.65,First,woman,False,E,S,Southampton,yes,False
1,3,female,36,1,0,17.4,Third,woman,False,,S,Southampton,yes,False
0,3,male,,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
0,3,male,40,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,2,male,28,0,0,13.5,Second,man,True,,S,Southampton,no,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,female,,0,0,8.05,Third,woman,False,,S,Southampton,no,True
0,3,male,24,2,0,24.15,Third,man,True,,S,Southampton,no,False
0,3,male,19,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,3,female,29,0,4,21.075,Third,woman,False,,S,Southampton,no,False
0,3,male,,0,0,7.2292,Third,man,True,,C,Cherbourg,no,True
1,3,male,32,0,0,7.8542,Third,man,True,,S,Southampton,yes,True
1,2,male,62,0,0,10.5,Second,man,True,,S,Southampton,yes,True
1,1,female,53,2,0,51.4792,First,woman,False,C,S,Southampton,yes,False
1,1,male,36,0,0,26.3875,First,man,True,E,S,Southampton,yes,True
1,3,female,,0,0,7.75,Third,woman,False,,Q,Queenstown,yes,True
0,3,male,16,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,19,0,0,14.5,Third,man,True,,S,Southampton,no,True
1,2,female,34,0,0,13,Second,woman,False,,S,Southampton,yes,True
1,1,female,39,1,0,55.9,First,woman,False,E,S,Southampton,yes,False
0,3,female,,1,0,14.4583,Third,woman,False,,C,Cherbourg,no,False
1,3,male,32,0,0,7.925,Third,man,True,,S,Southampton,yes,True
1,2,female,25,1,1,30,Second,woman,False,,S,Southampton,yes,False
1,1,female,39,1,1,110.8833,First,woman,False,C,C,Cherbourg,yes,False
0,2,male,54,0,0,26,Second,man,True,,S,Southampton,no,True
0,1,male,36,0,0,40.125,First,man,True,A,C,Cherbourg,no,True
0,3,male,,0,0,8.7125,Third,man,True,,C,Cherbourg,no,True
1,1,female,18,0,2,79.65,First,woman,False,E,S,Southampton,yes,False
0,2,male,47,0,0,15,Second,man,True,,S,Southampton,no,True
1,1,male,60,1,1,79.2,First,man,True,B,C,Cherbourg,yes,False
0,3,male,22,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,8.05,Third,man,True,,S,Southampton,no,True
0,3,male,35,0,0,7.125,Third,man,True,,S,Southampton,no,True
1,1,female,52,1,0,78.2667,First,woman,False,D,C,Cherbourg,yes,False
0,3,male,47,0,0,7.25,Third,man,True,,S,Southampton,no,True
0,3,female,,0,2,7.75,Third,woman,False,,Q,Queenstown,no,False
0,2,male,37,1,0,26,Second,man,True,,S,Southampton,no,False
0,3,male,36,1,1,24.15,Third,man,True,,S,Southampton,no,False
1,2,female,,0,0,33,Second,woman,False,,S,Southampton,yes,True
0,3,male,49,0,0,0,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
1,1,male,49,1,0,56.9292,First,man,True,A,C,Cherbourg,yes,False
1,2,female,24,2,1,27,Second,woman,False,,S,Southampton,yes,False
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,1,male,,0,0,42.4,First,man,True,,S,Southampton,no,True
0,3,male,44,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,1,male,35,0,0,26.55,First,man,True,,C,Cherbourg,yes,True
0,3,male,36,1,0,15.55,Third,man,True,,S,Southampton,no,False
0,3,male,30,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,1,male,27,0,0,30.5,First,man,True,,S,Southampton,yes,True
1,2,female,22,1,2,41.5792,Second,woman,False,,C,Cherbourg,yes,False
1,1,female,40,0,0,153.4625,First,woman,False,C,S,Southampton,yes,True
0,3,female,39,1,5,31.275,Third,woman,False,,S,Southampton,no,False
0,3,male,,0,0,7.05,Third,man,True,,S,Southampton,no,True
1,3,female,,1,0,15.5,Third,woman,False,,Q,Queenstown,yes,False
0,3,male,,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
0,3,male,35,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,2,female,24,1,2,65,Second,woman,False,,S,Southampton,yes,False
0,3,male,34,1,1,14.4,Third,man,True,,S,Southampton,no,False
0,3,female,26,1,0,16.1,Third,woman,False,,S,Southampton,no,False
1,2,female,4,2,1,39,Second,child,False,F,S,Southampton,yes,False
0,2,male,26,0,0,10.5,Second,man,True,,S,Southampton,no,True
0,3,male,27,1,0,14.4542,Third,man,True,,C,Cherbourg,no,False
1,1,male,42,1,0,52.5542,First,man,True,D,S,Southampton,yes,False
1,3,male,20,1,1,15.7417,Third,man,True,,C,Cherbourg,yes,False
0,3,male,21,0,0,7.8542,Third,man,True,,S,Southampton,no,True
0,3,male,21,0,0,16.1,Third,man,True,,S,Southampton,no,True
0,1,male,61,0,0,32.3208,First,man,True,D,S,Southampton,no,True
0,2,male,57,0,0,12.35,Second,man,True,,Q,Queenstown,no,True
1,1,female,21,0,0,77.9583,First,woman,False,D,S,Southampton,yes,True
0,3,male,26,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.7333,Third,man,True,,Q,Queenstown,no,True
1,1,male,80,0,0,30,First,man,True,A,S,Southampton,yes,True
0,3,male,51,0,0,7.0542,Third,man,True,,S,Southampton,no,True
1,1,male,32,0,0,30.5,First,man,True,B,C,Cherbourg,yes,True
0,1,male,,0,0,0,First,man,True,,S,Southampton,no,True
0,3,female,9,3,2,27.9,Third,child,False,,S,Southampton,no,False
1,2,female,28,0,0,13,Second,woman,False,,S,Southampton,yes,True
0,3,male,32,0,0,7.925,Third,man,True,,S,Southampton,no,True
0,2,male,31,1,1,26.25,Second,man,True,,S,Southampton,no,False
0,3,female,41,0,5,39.6875,Third,woman,False,,S,Southampton,no,False
0,3,male,,1,0,16.1,Third,man,True,,S,Southampton,no,False
0,3,male,20,0,0,7.8542,Third,man,True,,S,Southampton,no,True
1,1,female,24,0,0,69.3,First,woman,False,B,C,Cherbourg,yes,True
0,3,female,2,3,2,27.9,Third,child,False,,S,Southampton,no,False
1,3,male,,0,0,56.4958,Third,man,True,,S,Southampton,yes,True
1,3,female,0.75,2,1,19.2583,Third,child,False,,C,Cherbourg,yes,False
1,1,male,48,1,0,76.7292,First,man,True,D,C,Cherbourg,yes,False
0,3,male,19,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,1,male,56,0,0,35.5,First,man,True,A,C,Cherbourg,yes,True
0,3,male,,0,0,7.55,Third,man,True,,S,Southampton,no,True
1,3,female,23,0,0,7.55,Third,woman,False,,S,Southampton,yes,True
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,2,female,18,0,1,23,Second,woman,False,,S,Southampton,yes,False
0,3,male,21,0,0,8.4333,Third,man,True,,S,Southampton,no,True
1,3,female,,0,0,7.8292,Third,woman,False,,Q,Queenstown,yes,True
0,3,female,18,0,0,6.75,Third,woman,False,,Q,Queenstown,no,True
0,2,male,24,2,0,73.5,Second,man,True,,S,Southampton,no,False
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,3,female,32,1,1,15.5,Third,woman,False,,Q,Queenstown,no,False
0,2,male,23,0,0,13,Second,man,True,,S,Southampton,no,True
0,1,male,58,0,2,113.275,First,man,True,D,C,Cherbourg,no,False
1,1,male,50,2,0,133.65,First,man,True,,S,Southampton,yes,False
0,3,male,40,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
0,1,male,47,0,0,25.5875,First,man,True,E,S,Southampton,no,True
0,3,male,36,0,0,7.4958,Third,man,True,,S,Southampton,no,True
1,3,male,20,1,0,7.925,Third,man,True,,S,Southampton,yes,False
0,2,male,32,2,0,73.5,Second,man,True,,S,Southampton,no,False
0,2,male,25,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.775,Third,man,True,,S,Southampton,no,True
0,3,male,43,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,1,female,,1,0,52,First,woman,False,C,S,Southampton,yes,False
1,2,female,40,1,1,39,Second,woman,False,,S,Southampton,yes,False
0,1,male,31,1,0,52,First,man,True,B,S,Southampton,no,False
0,2,male,70,0,0,10.5,Second,man,True,,S,Southampton,no,True
1,2,male,31,0,0,13,Second,man,True,,S,Southampton,yes,True
0,2,male,,0,0,0,Second,man,True,,S,Southampton,no,True
0,3,male,18,0,0,7.775,Third,man,True,,S,Southampton,no,True
0,3,male,24.5,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,3,female,18,0,0,9.8417,Third,woman,False,,S,Southampton,yes,True
0,3,female,43,1,6,46.9,Third,woman,False,,S,Southampton,no,False
1,1,male,36,0,1,512.3292,First,man,True,B,C,Cherbourg,yes,False
0,3,female,,0,0,8.1375,Third,woman,False,,Q,Queenstown,no,True
1,1,male,27,0,0,76.7292,First,man,True,D,C,Cherbourg,yes,True
0,3,male,20,0,0,9.225,Third,man,True,,S,Southampton,no,True
0,3,male,14,5,2,46.9,Third,child,False,,S,Southampton,no,False
0,2,male,60,1,1,39,Second,man,True,,S,Southampton,no,False
0,2,male,25,1,2,41.5792,Second,man,True,,C,Cherbourg,no,False
0,3,male,14,4,1,39.6875,Third,child,False,,S,Southampton,no,False
0,3,male,19,0,0,10.1708,Third,man,True,,S,Southampton,no,True
0,3,male,18,0,0,7.7958,Third,man,True,,S,Southampton,no,True
1,1,female,15,0,1,211.3375,First,child,False,B,S,Southampton,yes,False
1,1,male,31,1,0,57,First,man,True,B,S,Southampton,yes,False
1,3,female,4,0,1,13.4167,Third,child,False,,C,Cherbourg,yes,False
1,3,male,,0,0,56.4958,Third,man,True,,S,Southampton,yes,True
0,3,male,25,0,0,7.225,Third,man,True,,C,Cherbourg,no,True
0,1,male,60,0,0,26.55,First,man,True,,S,Southampton,no,True
0,2,male,52,0,0,13.5,Second,man,True,,S,Southampton,no,True
0,3,male,44,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,3,female,,0,0,7.7333,Third,woman,False,,Q,Queenstown,yes,True
0,1,male,49,1,1,110.8833,First,man,True,C,C,Cherbourg,no,False
0,3,male,42,0,0,7.65,Third,man,True,F,S,Southampton,no,True
1,1,female,18,1,0,227.525,First,woman,False,C,C,Cherbourg,yes,False
1,1,male,35,0,0,26.2875,First,man,True,E,S,Southampton,yes,True
0,3,female,18,0,1,14.4542,Third,woman,False,,C,Cherbourg,no,False
0,3,male,25,0,0,7.7417,Third,man,True,,Q,Queenstown,no,True
0,3,male,26,1,0,7.8542,Third,man,True,,S,Southampton,no,False
0,2,male,39,0,0,26,Second,man,True,,S,Southampton,no,True
1,2,female,45,0,0,13.5,Second,woman,False,,S,Southampton,yes,True
1,1,male,42,0,0,26.2875,First,man,True,E,S,Southampton,yes,True
1,1,female,22,0,0,151.55,First,woman,False,,S,Southampton,yes,True
1,3,male,,1,1,15.2458,Third,man,True,,C,Cherbourg,yes,False
1,1,female,24,0,0,49.5042,First,woman,False,C,C,Cherbourg,yes,True
0,1,male,,0,0,26.55,First,man,True,C,S,Southampton,no,True
1,1,male,48,1,0,52,First,man,True,C,S,Southampton,yes,False
0,3,male,29,0,0,9.4833,Third,man,True,,S,Southampton,no,True
0,2,male,52,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,male,19,0,0,7.65,Third,man,True,F,S,Southampton,no,True
1,1,female,38,0,0,227.525,First,woman,False,C,C,Cherbourg,yes,True
1,2,female,27,0,0,10.5,Second,woman,False,E,S,Southampton,yes,True
0,3,male,,0,0,15.5,Third,man,True,,Q,Queenstown,no,True
0,3,male,33,0,0,7.775,Third,man,True,,S,Southampton,no,True
1,2,female,6,0,1,33,Second,child,False,,S,Southampton,yes,False
0,3,male,17,1,0,7.0542,Third,man,True,,S,Southampton,no,False
0,2,male,34,0,0,13,Second,man,True,,S,Southampton,no,True
0,2,male,50,0,0,13,Second,man,True,,S,Southampton,no,True
1,1,male,27,1,0,53.1,First,man,True,E,S,Southampton,yes,False
0,3,male,20,0,0,8.6625,Third,man,True,,S,Southampton,no,True
1,2,female,30,3,0,21,Second,woman,False,,S,Southampton,yes,False
1,3,female,,0,0,7.7375,Third,woman,False,,Q,Queenstown,yes,True
0,2,male,25,1,0,26,Second,man,True,,S,Southampton,no,False
0,3,female,25,1,0,7.925,Third,woman,False,,S,Southampton,no,False
1,1,female,29,0,0,211.3375,First,woman,False,B,S,Southampton,yes,True
0,3,male,11,0,0,18.7875,Third,child,False,,C,Cherbourg,no,True
0,2,male,,0,0,0,Second,man,True,,S,Southampton,no,True
0,2,male,23,0,0,13,Second,man,True,,S,Southampton,no,True
0,2,male,23,0,0,13,Second,man,True,,S,Southampton,no,True
0,3,male,28.5,0,0,16.1,Third,man,True,,S,Southampton,no,True
0,3,female,48,1,3,34.375,Third,woman,False,,S,Southampton,no,False
1,1,male,35,0,0,512.3292,First,man,True,B,C,Cherbourg,yes,True
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
0,3,male,,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,1,male,,0,0,30,First,man,True,D,S,Southampton,yes,True
0,1,male,36,1,0,78.85,First,man,True,C,S,Southampton,no,False
1,1,female,21,2,2,262.375,First,woman,False,B,C,Cherbourg,yes,False
0,3,male,24,1,0,16.1,Third,man,True,,S,Southampton,no,False
1,3,male,31,0,0,7.925,Third,man,True,,S,Southampton,yes,True
0,1,male,70,1,1,71,First,man,True,B,S,Southampton,no,False
0,3,male,16,1,1,20.25,Third,man,True,,S,Southampton,no,False
1,2,female,30,0,0,13,Second,woman,False,,S,Southampton,yes,True
0,1,male,19,1,0,53.1,First,man,True,D,S,Southampton,no,False
0,3,male,31,0,0,7.75,Third,man,True,,Q,Queenstown,no,True
1,2,female,4,1,1,23,Second,child,False,,S,Southampton,yes,False
1,3,male,6,0,1,12.475,Third,child,False,E,S,Southampton,yes,False
0,3,male,33,0,0,9.5,Third,man,True,,S,Southampton,no,True
0,3,male,23,0,0,7.8958,Third,man,True,,S,Southampton,no,True
1,2,female,48,1,2,65,Second,woman,False,,S,Southampton,yes,False
1,2,male,0.67,1,1,14.5,Second,child,False,,S,Southampton,yes,False
0,3,male,28,0,0,7.7958,Third,man,True,,S,Southampton,no,True
0,2,male,18,0,0,11.5,Second,man,True,,S,Southampton,no,True
0,3,male,34,0,0,8.05,Third,man,True,,S,Southampton,no,True
1,1,female,33,0,0,86.5,First,woman,False,B,S,Southampton,yes,True
0,3,male,,0,0,14.5,Third,man,True,,S,Southampton,no,True
0,3,male,41,0,0,7.125,Third,man,True,,S,Southampton,no,True
1,3,male,20,0,0,7.2292,Third,man,True,,C,Cherbourg,yes,True
1,1,female,36,1,2,120,First,woman,False,B,S,Southampton,yes,False
0,3,male,16,0,0,7.775,Third,man,True,,S,Southampton,no,True
1,1,female,51,1,0,77.9583,First,woman,False,D,S,Southampton,yes,False
0,1,male,,0,0,39.6,First,man,True,,C,Cherbourg,no,True
0,3,female,30.5,0,0,7.75,Third,woman,False,,Q,Queenstown,no,True
0,3,male,,1,0,24.15,Third,man,True,,Q,Queenstown,no,False
0,3,male,32,0,0,8.3625,Third,man,True,,S,Southampton,no,True
0,3,male,24,0,0,9.5,Third,man,True,,S,Southampton,no,True
0,3,male,48,0,0,7.8542,Third,man,True,,S,Southampton,no,True
